id,first_name,last_name,email,shoe_type,shoe_color,shoe_material,price
18392,Christopher,Blankenship,user111@example.com,ballet flats,black,synthetic,286.94
40535,Donna,Dillon,user112@example.com,boots,white,synthetic,204.94
88603,Ryan,Davis,user113@example.com,clogs,blue,mesh,436.36
62256,Michael,Johnson,user114@example.com,sneakers,red,mesh,236.02
99135,Michael,Saunders,user115@example.com,sandals,grey,canvas,258.31
45222,Sarah,Miller,user116@example.com,sneakers,blue,leather,230.84
87373,Keith,Jones,user117@example.com,boots,black,synthetic,316.94
89575,Kyle,Saunders,user118@example.com,ballet flats,red,canvas,268.24
94651,Kyle,Blankenship,user119@example.com,sandals,brown,leather,222.17
73335,James,Dillon,user120@example.com,boots,blue,suede,319.41
20965,Emily,Brown,user121@example.com,sandals,black,mesh,327.5
34538,Keith,Davis,user122@example.com,ballet flats,white,leather,275.99
80592,Albert,Rodriguez,user123@example.com,clogs,grey,suede,240.18
18110,Sarah,Miller,user124@example.com,clogs,red,leather,411.46
89309,Albert,Blankenship,user125@example.com,sneakers,blue,mesh,300.4
37266,Christopher,Martinez,user126@example.com,sandals,blue,mesh,203.56
62992,Christopher,Peck,user127@example.com,boots,brown,canvas,364.84
92948,Albert,Rodriguez,user128@example.com,sneakers,brown,synthetic,228.65
16910,Albert,Rodriguez,user129@example.com,sneakers,white,leather,444.51
10206,Ashley,Rodriguez,user130@example.com,ballet flats,grey,leather,284.78
97054,Keith,Sweeney,user131@example.com,clogs,white,suede,340.8
97897,Albert,Blankenship,user132@example.com,sneakers,black,mesh,155.2
33419,Michael,Miller,user133@example.com,clogs,black,leather,202.95
60636,Emily,Jones,user134@example.com,sneakers,white,mesh,360.03
60015,Emily,Jones,user135@example.com,sneakers,grey,leather,299.07
64268,Elizabeth,Blankenship,user136@example.com,boots,white,canvas,402.54
97939,Donna,Johnson,user137@example.com,clogs,grey,synthetic,309.11
28141,Christopher,Sweeney,user138@example.com,sneakers,grey,leather,288.72
90356,Kyle,Peck,user139@example.com,ballet flats,red,mesh,382.81
81910,James,Rodriguez,user140@example.com,ballet flats,grey,canvas,340.61
66044,Amanda,Rodriguez,user141@example.com,boots,brown,leather,268.22
77214,Kyle,Blankenship,user142@example.com,sneakers,grey,suede,214.35
43827,Donna,Johnson,user143@example.com,clogs,grey,synthetic,137.7
65820,James,Jones,user144@example.com,ballet flats,grey,leather,253.74
72623,Ashley,Jones,user145@example.com,sandals,black,canvas,208.82
91734,Keith,Dillon,user146@example.com,boots,brown,suede,435.86
85450,Ryan,Blankenship,user147@example.com,clogs,brown,canvas,240.98
32299,Keith,Sweeney,user148@example.com,sneakers,white,canvas,239.34
53585,Kyle,Velazquez,user149@example.com,sneakers,red,suede,188.73
74044,Kyle,Sweeney,user150@example.com,sandals,grey,canvas,264.02
52557,James,Martinez,user151@example.com,boots,blue,suede,240.13
59080,James,Jones,user152@example.com,boots,red,leather,384.26
12693,Christopher,Jones,user153@example.com,ballet flats,red,suede,290.11
79163,Ashley,Saunders,user154@example.com,sneakers,brown,suede,279.47
35939,Christopher,Jones,user155@example.com,sneakers,red,synthetic,271.92
58925,Donna,Peck,user156@example.com,clogs,grey,suede,327.17
52941,Albert,Williams,user157@example.com,clogs,grey,suede,252.86
31834,Keith,Blankenship,user158@example.com,sandals,black,leather,320.03
28047,James,Davis,user159@example.com,sneakers,grey,synthetic,376.84
36105,Jessica,Sweeney,user160@example.com,clogs,grey,mesh,307.6
85766,Donna,Williams,user161@example.com,sneakers,brown,leather,265.02
25707,Michael,Johnson,user162@example.com,boots,grey,leather,222.79
31976,Ashley,Velazquez,user163@example.com,sandals,black,mesh,263.49
54262,Kyle,Peck,user164@example.com,ballet flats,blue,suede,313.78
33776,Christopher,Miller,user165@example.com,clogs,brown,canvas,188.05
40080,Donna,Garcia,user166@example.com,sneakers,blue,synthetic,329.89
76842,Amanda,Sweeney,user167@example.com,boots,brown,canvas,292.46
71373,Keith,Williams,user168@example.com,sneakers,white,mesh,271.05
16776,James,Miller,user169@example.com,sneakers,red,leather,240.44
65016,Kyle,Velazquez,user170@example.com,boots,white,leather,251.42
19474,Ryan,Saunders,user171@example.com,ballet flats,grey,synthetic,315.84
68053,Amanda,Miller,user172@example.com,sneakers,blue,leather,272.31
31959,Ashley,Peck,user173@example.com,sandals,grey,leather,249.93
15530,Donna,Peck,user174@example.com,sneakers,red,synthetic,308.11
13748,Sarah,Davis,user175@example.com,sandals,brown,synthetic,310.49
23545,Kyle,Saunders,user176@example.com,sneakers,red,mesh,205.05
76199,Keith,Garcia,user177@example.com,sandals,black,leather,314.29
44766,Elizabeth,Blankenship,user178@example.com,sandals,red,leather,430.1
83530,Jessica,Miller,user179@example.com,sneakers,black,mesh,308.18
71087,David,Saunders,user180@example.com,boots,red,suede,178.06
78840,Amanda,Peck,user181@example.com,ballet flats,black,suede,290.64
64384,Albert,Peck,user182@example.com,ballet flats,blue,suede,170.15
61005,David,Williams,user183@example.com,sneakers,grey,mesh,470.04
56576,Keith,Jones,user184@example.com,sneakers,grey,leather,414.14
49353,Michael,Garcia,user185@example.com,sneakers,white,mesh,240.04
72003,Christopher,Miller,user186@example.com,boots,grey,mesh,145.26
93211,Michael,Davis,user187@example.com,ballet flats,brown,suede,227.3
62733,Elizabeth,Davis,user188@example.com,ballet flats,red,canvas,269.14
75318,Amanda,Miller,user189@example.com,boots,white,leather,174.29
99474,Albert,Martinez,user190@example.com,sandals,brown,suede,275.86
33664,Sarah,Rodriguez,user191@example.com,boots,brown,canvas,268.75
77172,Elizabeth,Velazquez,user192@example.com,boots,black,canvas,287.51
95616,Amanda,Davis,user193@example.com,clogs,grey,synthetic,293.78
36736,Emily,Saunders,user194@example.com,boots,blue,leather,222.06
10854,David,Velazquez,user195@example.com,sandals,blue,canvas,228.8
48623,Elizabeth,Saunders,user196@example.com,sneakers,white,suede,282.74
17392,David,Johnson,user197@example.com,boots,blue,synthetic,242.14
65680,Kyle,Peck,user198@example.com,sneakers,red,leather,334.45
56717,Michael,Jones,user199@example.com,sneakers,blue,mesh,282.15
